,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
165,Kupang,20,ID,1595758246,61,-10.17,123.58,78.8,9.17
166,Berdigestyakh,58,RU,1595758467,53,62.1,126.7,70.75,4.21
167,Port Macquarie,97,AU,1595758469,98,-31.43,152.92,55.0,9.75
168,Staryy Nadym,77,RU,1595758470,52,65.61,72.68,65.03,17.0
169,Salalah,90,OM,1595758362,94,17.02,54.09,80.6,8.05
170,Torbay,75,CA,1595758472,100,47.67,-52.73,59.0,9.17
171,Lavrentiya,27,RU,1595758354,85,65.58,-171.0,49.46,1.77
172,Asău,100,RO,1595758475,68,46.43,26.4,73.99,3.56
173,Takaka,0,NZ,1595758387,80,-40.85,172.8,46.99,1.01
174,Mocuba,13,MZ,1595758477,44,-16.84,36.99,76.96,5.35
175,Cockburn Town,7,TC,1595758478,83,21.46,-71.14,82.18,18.54
176,Salinópolis,14,BR,1595758386,84,-0.61,-47.36,78.51,6.08
177,Mar del Plata,100,AR,1595758438,75,-38.0,-57.56,48.99,9.17
178,Hlukhiv,86,UA,1595758482,60,51.68,33.92,75.13,7.52
179,Rosetta,40,EG,1595758483,62,31.4,30.42,86.0,12.75
180,Kilindoni,46,TZ,1595758485,71,-7.91,39.67,77.36,19.08
181,Hamilton,1,US,1595758205,100,39.18,-84.53,70.0,1.66
182,Teluk Nibung,44,ID,1595758487,71,3.0,99.82,85.84,8.61
183,Zabaykal'sk,56,RU,1595758488,50,49.63,117.32,84.94,7.94
184,Luganville,90,VU,1595758489,83,-15.53,167.17,77.0,8.05
185,Cape Canaveral,75,US,1595758491,88,28.41,-80.6,82.0,3.36
186,Yangi Marg`ilon,0,UZ,1595758492,20,40.43,71.72,96.8,6.93
187,Orlik,76,RU,1595758493,39,52.52,99.83,69.82,11.72
188,Dingle,86,PH,1595758494,85,11.0,122.67,81.86,0.85
189,Buraidah,0,SA,1595758357,27,26.33,43.98,109.4,6.93
190,Colares,20,PT,1595758497,73,38.8,-9.45,75.0,25.28
191,Gamboma,39,CG,1595758498,37,-1.88,15.86,90.43,5.95
192,Atar,0,MR,1595758499,23,20.52,-13.05,86.0,6.93
193,Ust'-Barguzin,100,RU,1595758357,84,53.45,108.98,60.71,5.86
194,Bilma,45,NE,1595758502,17,18.69,12.92,100.92,7.52
195,Saint-Augustin,95,CA,1595758504,93,51.23,-58.65,59.05,7.25
196,Kaeo,20,NZ,1595758505,3,-35.1,173.78,50.0,1.01
197,Arrondissement du Havre,75,FR,1595758506,72,49.58,0.33,64.4,13.87
198,Mahuva,51,IN,1595758367,67,21.09,71.76,88.05,11.79
199,Dikson,93,RU,1595758353,88,73.51,80.55,39.85,16.49
200,Tulagi,75,SB,1595758510,88,-9.1,160.15,77.0,4.7
201,Belyy Yar,44,RU,1595758512,42,53.6,91.39,82.4,4.47
202,Antalaha,95,MG,1595758276,78,-14.9,50.28,72.25,14.85
203,Saldanha,0,ZA,1595758375,63,-33.01,17.94,62.6,11.41
204,Grão Mogol,40,BR,1595758516,99,-16.56,-42.89,56.19,4.16
205,Zatoka,76,UA,1595758518,20,46.07,30.47,89.01,8.95
206,Rosarito,1,MX,1595758454,82,32.33,-117.03,66.0,6.67
207,Manta,100,EC,1595758521,85,-0.95,-80.73,69.62,4.27
208,Bariloche,75,AR,1595758523,86,-41.15,-71.31,37.4,16.11
209,Bethel,1,US,1595758524,94,41.37,-73.41,72.0,3.74
210,Mont-Dore,18,NC,1595758525,77,-22.28,166.58,68.0,3.36
211,Whitehorse,90,CA,1595758380,62,60.72,-135.05,55.4,16.11
212,Alyangula,22,AU,1595758387,60,-13.85,136.42,73.4,9.17
213,Zhigansk,97,RU,1595758354,71,66.77,123.37,56.62,17.07
214,Carinhanha,0,BR,1595758530,83,-14.3,-43.77,62.58,5.48
215,Jiayuguan City,0,CN,1595758446,11,39.82,98.3,92.1,13.18
216,Bembèrèkè,86,BJ,1595758533,78,10.23,2.66,78.69,7.54
217,Chui,0,UY,1595758534,86,-33.7,-53.46,39.43,5.1
218,Rassvet,34,RU,1595758535,22,46.83,40.75,91.63,18.63
219,Broken Hill,39,AU,1595758537,47,-31.95,141.43,55.4,8.05
220,Yulara,0,AU,1595758538,37,-25.24,130.99,64.4,4.7
221,Bontang,21,ID,1595758539,85,0.13,117.5,80.13,10.8
222,Lewisporte,40,CA,1595758540,93,49.25,-55.05,60.01,13.87
223,Saint-Joseph,50,RE,1595758541,68,-21.37,55.62,71.6,33.33
224,Paamiut,3,GL,1595758344,91,61.99,-49.67,43.65,5.1
225,Meulaboh,98,ID,1595758382,84,4.14,96.13,81.03,6.33
226,Cobija,100,BO,1595758545,90,-11.03,-68.77,63.12,2.91
227,Castro,99,BR,1595758546,90,-24.79,-50.01,53.33,9.19
228,Boşorod,88,RO,1595758548,76,45.68,23.08,68.7,1.97
229,Atasū,84,KZ,1595758549,30,48.68,71.64,79.03,5.84
230,Kano,54,NG,1595758550,60,12.0,8.52,83.17,12.64
231,Tasiilaq,68,GL,1595758344,70,65.61,-37.64,46.4,3.36
232,Okha,0,RU,1595758553,85,53.57,142.95,52.5,12.73
233,Vila Franca do Campo,75,PT,1595758554,78,37.72,-25.43,71.6,3.36
234,Tiarei,12,PF,1595758555,83,-17.53,-149.33,73.4,3.36
235,Lorengau,96,PG,1595758556,78,-2.02,147.27,82.94,10.67
236,Lodja,91,CD,1595758557,20,-3.48,23.43,94.48,4.27
237,Huarmey,72,PE,1595758559,85,-10.07,-78.15,58.8,5.84
238,Yaan,64,NG,1595758560,80,7.38,8.57,79.95,6.08
239,Aklavik,90,CA,1595758561,81,68.22,-135.01,53.6,4.7
240,Mabaruma,7,GY,1595758562,98,8.2,-59.78,73.87,2.06
241,Samarai,99,PG,1595758564,88,-10.62,150.67,78.71,13.04
242,Grindavik,75,IS,1595758565,87,63.84,-22.43,50.0,10.29
243,Koslan,16,RU,1595758566,29,63.46,48.9,79.38,5.55
244,Makakilo City,1,US,1595758567,69,21.35,-158.09,80.6,5.82
245,Airai,56,TL,1595758569,100,-8.93,125.41,58.15,3.47
246,Maningrida,43,AU,1595758570,49,-12.07,134.27,76.68,14.0
247,Belmonte,75,BR,1595758571,94,-15.86,-38.88,71.6,10.29
248,Saint Paul Harbor,90,US,1595758572,81,57.79,-152.41,53.6,6.93
249,Mangalia,75,RO,1595758574,54,43.8,28.58,80.6,9.17
250,Touros,20,BR,1595758575,94,-5.2,-35.46,71.6,6.93
251,Inzhavino,0,RU,1595758576,43,52.32,42.49,74.88,3.51
252,Takoradze,89,GH,1595758577,71,4.88,-1.76,79.61,8.75
253,Grand Gaube,90,MU,1595758578,86,-20.01,57.66,66.99,11.99
254,Constitución,100,CL,1595758580,76,-35.33,-72.42,49.95,4.38
255,Omboué,100,GA,1595758581,74,-1.57,9.26,75.88,5.46
256,Saskylakh,100,RU,1595758353,95,71.92,114.08,35.85,19.51
257,Wagar,82,SD,1595758583,39,16.15,36.2,93.45,18.07
258,Boca do Acre,81,BR,1595758585,90,-8.75,-67.4,65.53,3.62
259,Puerto del Rosario,75,ES,1595758586,73,28.5,-13.86,75.2,19.46
260,Novobiryusinskiy,83,RU,1595758587,65,56.96,97.71,73.04,3.74
261,Manavālakurichi,75,IN,1595758588,79,8.13,77.3,84.2,6.93
262,Berlevåg,12,NO,1595758590,38,70.86,29.09,73.4,14.99
263,Usinsk,3,RU,1595758591,37,65.99,57.53,75.49,9.46
264,East Wenatchee Bench,1,US,1595758592,48,47.43,-120.28,66.2,5.82
265,Sabang,40,ID,1595758388,79,5.89,95.32,82.69,20.18
266,Ahipara,6,NZ,1595758595,79,-35.17,173.17,49.05,4.16
267,Talcahuano,100,CL,1595758596,93,-36.72,-73.12,51.8,5.82
268,Shache,21,CN,1595758368,9,38.42,77.24,101.14,12.66
269,Xining,15,CN,1595758599,26,36.62,101.77,80.02,4.07
270,Moroni,20,KM,1595758600,58,-11.7,43.26,82.4,20.8
271,Zhangjiakou Shi Xuanhua Qu,31,CN,1595758602,67,40.61,115.04,71.37,11.48
272,Beringovskiy,24,RU,1595758354,76,63.05,179.32,59.09,5.5
273,Fortuna,1,US,1595758604,93,40.6,-124.16,53.01,2.26
274,Ābādān,0,IR,1595758574,31,30.34,48.3,113.0,4.7
275,Severo-Kuril'sk,97,RU,1595758358,86,50.68,156.12,50.52,14.18
276,Alofi,42,NU,1595758387,94,-19.06,-169.92,69.8,11.41
277,Kindersley,20,CA,1595758376,87,51.47,-109.17,53.6,13.87
278,Jumla,88,NP,1595758610,95,29.27,82.18,75.0,4.47
279,Toora-Khem,72,RU,1595758612,37,52.47,96.11,76.19,3.15
280,Chengde,100,CN,1595758613,74,40.97,117.94,70.68,2.95
281,Bojonegoro,99,ID,1595758614,62,-7.15,111.88,81.09,5.61
282,Sitka,90,US,1595758615,93,57.05,-135.33,55.4,12.75
283,Terrace,99,CA,1595758617,85,54.52,-128.6,56.46,2.48
284,Prata,17,BR,1595758618,63,-19.31,-48.92,62.06,7.58
285,Esperance,0,AU,1595758619,76,-33.87,121.9,55.4,8.05
286,Lindi,40,TZ,1595758620,57,-10.0,39.72,80.6,20.8
287,Wau,96,SS,1595758622,70,7.7,28.0,80.24,6.4
288,Tautira,27,PF,1595758623,83,-17.73,-149.15,73.4,3.36
289,Cherskiy,16,RU,1595758625,45,68.75,161.3,74.88,1.39
290,Nantucket,40,US,1595758626,94,41.28,-70.1,72.0,10.29
291,Luau,32,AO,1595758627,21,-10.71,22.22,81.93,6.15
292,Hanting,100,CN,1595758629,81,36.77,119.21,73.85,4.25
293,Shimoda,100,JP,1595758630,94,34.67,138.95,73.0,6.91
294,Cabedelo,75,BR,1595758631,100,-6.98,-34.83,71.6,8.05
295,Sarakhs,0,IR,1595758360,14,36.54,61.16,107.6,9.1
296,Mehamn,0,NO,1595758341,38,71.04,27.85,73.4,14.99
297,São Filipe,100,CV,1595758635,87,14.9,-24.5,78.15,7.29
298,Porto Nacional,0,BR,1595758636,49,-10.71,-48.42,71.6,9.17
299,Kudahuvadhoo,72,MV,1595758637,65,2.67,72.89,83.17,7.0
300,Auki,100,SB,1595758638,85,-8.77,160.7,78.22,5.32
301,Yamada,100,JP,1595758640,93,39.47,141.95,67.48,2.98
302,Jaciara,0,BR,1595758641,82,-15.97,-54.97,57.34,1.72
303,Burnie,11,AU,1595758642,78,-41.07,145.92,48.99,1.99
304,Port-Cartier,75,CA,1595758643,93,50.03,-66.87,62.6,3.69
305,Reconquista,0,AR,1595758386,77,-29.15,-59.65,40.6,7.9
306,Aras,0,ES,1595758646,47,42.56,-2.36,78.8,5.82
307,Wamba,97,NG,1595758647,73,8.93,8.6,81.12,4.05
308,Aquin,0,HT,1595758648,81,18.28,-73.4,78.6,3.09
309,Aksarayskiy,0,RU,1595758650,14,46.79,48.01,91.4,13.42
310,Wajima,75,JP,1595758651,100,37.4,136.9,73.4,4.7
311,Marsaxlokk,20,MT,1595758652,55,35.84,14.54,86.0,9.17
312,Terney,98,RU,1595758653,81,45.05,136.61,61.5,0.27
313,Berezniki,32,RU,1595758655,44,59.42,56.81,71.74,6.53
314,Muncie,1,US,1595758657,88,40.19,-85.39,66.99,2.93
315,Kahului,90,US,1595758658,78,20.89,-156.47,77.0,8.05
316,Yashkul',49,RU,1595758660,14,46.17,45.34,94.62,16.62
317,Urmia,20,IR,1595758607,12,37.55,45.08,96.8,18.34
318,Acapulco de Juárez,97,MX,1595758373,81,16.86,-99.89,77.43,5.88
319,Ouadda,99,CF,1595758664,91,8.08,22.4,69.78,5.44
320,Casas Grandes,100,MX,1595758383,93,30.37,-107.95,64.99,3.53
321,Guangzhou,40,CN,1595758489,50,23.12,113.25,104.0,11.18
322,Distrikt Brokopondo,6,SR,1595758668,89,4.75,-55.17,75.13,5.14
323,Viseu,0,PT,1595758669,43,40.66,-7.91,82.0,3.0
324,Tulun,100,RU,1595758670,59,54.56,100.58,74.5,2.64
325,Bredasdorp,86,ZA,1595758672,59,-34.53,20.04,62.6,13.87
326,Voh,0,NC,1595758673,84,-20.97,164.7,67.84,6.98
327,Pandan,36,PH,1595758675,77,14.05,124.17,83.88,4.63
328,Nueva Concepción,84,GT,1595758676,90,14.2,-91.3,73.11,4.5
329,Srostki,49,RU,1595758677,71,52.42,85.7,70.77,26.89
330,Vrindāvan,40,IN,1595758678,49,27.58,77.7,93.2,4.7
331,Lashio,100,MM,1595758680,71,22.93,97.75,81.19,5.14
332,Tahe,96,CN,1595758387,73,52.33,124.73,76.1,5.23
333,Turukhansk,66,RU,1595758682,55,65.82,87.98,64.33,11.52
334,Šahy,75,SK,1595758684,54,48.07,18.95,81.0,1.12
335,Gouyave,20,GD,1595758685,88,12.16,-61.73,80.6,11.41
336,Ridgecrest,1,US,1595758687,33,35.62,-117.67,75.2,10.29
337,Altagracia de Orituco,19,VE,1595758688,92,9.86,-66.38,69.19,1.7
338,Port Hardy,0,CA,1595758689,83,50.7,-127.42,55.29,3.04
339,Kingston,20,JM,1595758424,65,18.0,-76.79,82.4,10.29
340,La Mata,100,PA,1595758691,94,8.08,-80.88,73.22,3.67
341,Rancho Palos Verdes,2,US,1595758693,95,33.74,-118.39,62.01,1.01
342,Egvekinot,79,RU,1595758694,87,66.32,-179.17,50.07,5.06
343,Ancud,40,CL,1595758695,93,-41.87,-73.82,43.0,4.7
344,Abuyog,64,PH,1595758696,79,10.67,125.05,81.88,2.75
345,Faanui,2,PF,1595758698,84,-16.48,-151.75,77.58,16.02
346,Neftçala,0,AZ,1595758699,43,39.37,49.25,85.53,9.91
347,Pevek,18,RU,1595758464,70,69.7,170.31,56.88,12.53
348,Kailua,75,US,1595758504,69,21.4,-157.74,80.6,14.99
349,Mount Isa,0,AU,1595758703,25,-20.73,139.5,64.4,9.17
350,Lebu,81,CL,1595758704,88,-37.62,-73.65,52.25,11.59
351,Ankazoabo,0,MG,1595758705,28,-22.28,44.52,77.18,10.31
352,Nishihara,75,JP,1595758706,79,26.18,127.76,84.2,10.29
353,Sur,99,OM,1595758707,55,22.57,59.53,91.18,5.08
354,Petropavlovsk-Kamchatskiy,76,RU,1595758709,67,53.05,158.65,62.6,2.19
355,Kovdor,76,RU,1595758710,61,67.57,30.48,63.64,10.76
356,Ponta do Sol,0,PT,1595758711,65,32.67,-17.1,72.0,2.57
357,Saint Augustine,75,US,1595758681,88,29.89,-81.31,77.0,4.52
358,Shangrao,87,CN,1595758714,76,28.45,117.97,88.14,3.53
359,Kampene,0,CD,1595758715,19,-3.6,26.67,92.82,5.91
360,Mossamedes,5,AO,1595758716,82,-15.2,12.15,68.0,6.76
361,Boralday,75,KZ,1595758718,18,43.36,76.86,93.2,8.95
362,Great Falls,1,US,1595758719,75,47.5,-111.3,52.0,5.82
363,Comodoro Rivadavia,75,AR,1595758720,86,-45.87,-67.5,33.8,4.7
364,Shetpe,11,KZ,1595758722,13,44.17,52.12,96.06,11.79
365,Alice Springs,0,AU,1595758562,44,-23.7,133.88,59.0,6.93
366,Trélazé,75,FR,1595758725,64,47.45,-0.47,72.0,5.82
367,Buchanan,75,LR,1595758726,78,5.88,-10.05,82.4,11.41
368,Ambon City,75,ID,1595758591,83,-3.7,128.18,82.0,4.7
369,Cartagena,48,CO,1595758729,82,10.4,-75.51,79.54,6.17
370,Hasaki,75,JP,1595758431,78,35.73,140.83,82.4,5.82
371,Sola,75,VU,1595758731,83,-13.88,167.55,80.6,9.17
